timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706829378355,980,https://www.facebook.com/,200,OK,Thread Group 1-2,text,true,,68052,745,5,5,https://www.facebook.com/,825,0,666
1706829378556,772,https://www.facebook.com/,200,OK,Thread Group 1-3,text,true,,68052,745,5,5,https://www.facebook.com/,624,0,465
1706829378758,583,https://www.facebook.com/,200,OK,Thread Group 1-4,text,true,,68053,745,5,5,https://www.facebook.com/,422,0,263
1706829378231,1131,https://www.facebook.com/,200,OK,Thread Group 1-1,text,true,,68062,745,5,5,https://www.facebook.com/,966,0,790
1706829378957,465,https://www.facebook.com/,200,OK,Thread Group 1-5,text,true,,68064,745,5,5,https://www.facebook.com/,289,0,146
1706829379365,265,https://facebook.com/security/hsts-pixel.gif,200,OK,Thread Group 1-1,bin,true,,3510,415,5,5,https://facebook.com/security/hsts-pixel.gif,265,0,157
1706829378160,1396,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,71572,1160,5,5,null,1231,75,947
1706829379358,310,https://facebook.com/security/hsts-pixel.gif,200,OK,Thread Group 1-4,bin,true,,3510,415,4,4,https://facebook.com/security/hsts-pixel.gif,310,0,191
1706829379358,310,https://facebook.com/security/hsts-pixel.gif,200,OK,Thread Group 1-2,bin,true,,3510,415,4,4,https://facebook.com/security/hsts-pixel.gif,310,0,190
1706829379358,310,https://facebook.com/security/hsts-pixel.gif,200,OK,Thread Group 1-3,bin,true,,3510,415,4,4,https://facebook.com/security/hsts-pixel.gif,310,0,191
1706829378353,1290,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,71562,1160,4,4,null,1135,27,856
1706829378757,893,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,71563,1160,4,4,null,732,20,454
1706829378554,1082,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,71562,1160,4,4,null,934,34,656
1706829379424,264,https://facebook.com/security/hsts-pixel.gif,200,OK,Thread Group 1-5,bin,true,,3510,415,1,1,https://facebook.com/security/hsts-pixel.gif,264,0,155
1706829378955,729,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,71574,1160,1,1,null,553,6,301
